Points,90s,00s,10s,2020
10,2Pac - Calfornia Love,Kanye West - Stronger,Eminem - Rap God,Roddy Ricch - The Box 
20,Eminem - My Name Is ,50 Cent - In Da Club,Drake - Hotline Bling ,Cardi B - WAP
30,Ice Cube - It Was Good Day,Snoop Dogg - Drop It Like It's Hot,Rae Sremmurd - Black Beatles,Future - Life Is Good
40,Wu-Tang Clan - C.R.E.A.M.,Nelly - Hot In Herre,Lil Nas X - Old Town Road,Lil Baby - On Me
50,Dr. Dre - The Next Episode,Drake - Best I Ever Had,Death Grips - Guillotine,JPEGMAFIA - BALD!
