Points,90s,00s,10s,2020
10,Aqua - Barbie Girl,The Black Eyed Peas - I Gotta Feeling,Major Lazer & DJ Snake - Lean On,BTS - Dynamite
20,Britney Spears - ...Baby One More Time,Ke$ha - TiK ToK,Mark Ronson - Uptown Funk,The Weeknd - Blinding Lights
30,All Star - Smash Mouth,Justin Bieber - Baby,Adele - Hello,Dua Lipa - Don't Start Now
40,Backstreet Boys - I Want It That Way,Miley Cyrus - Party In The U.S.A.,Sia - Chandelier,Lady Gaga - Rain On Me
50,Darude - Sandstorm,Taylor Swift - You Belong With Me,DJ Snake - Magenta Riddim,Charli XCX - forever
