Points,90s,00s,10s,2020
10,Nirvana - Smells Like Teen Spirit,Linkin Park - Numb,Coldplay - Hymn for the Weekend,24kGoldn - Mood
20,Soundgarden - Black Hole Sun,System Of A Down - Chop Suey!,Arctic Monkeys - Do I Wanna Know?,Harry Styles - Golden
30,Blur - Song 2,My Chemical Romance - Welcome To The Black Parade,Foster The People - Pumped Up Kicks,Tame Impala - Lost in Yesterday
40,Sonic Youth - 100%,The Cranberries - Zombie,Radiohead - Creep,Machine Gun Kelly - Bloody Valentine
50,Metallica - Nothing Else Matters,Slipknot - Psychosocial,Nickelback - Photograph,beabadoobee - Care
