Points,80s,90s,00s,10s,2020
10,N.W.A. - Straight Outta Compton,2Pac - Calfornia Love,Kanye West - Stronger,Eminem - Rap God,Roddy Ricch - The Box 
20,Public Enemy - Don't Believe The Hype,Eminem - My Name Is ,50 Cent - In Da Club,Drake - Hotline Bling ,Cardi B - WAP
30,RUN DMC - Walk This Way,Ice Cube - It Was Good Day,Snoop Dogg - Drop It Like It's Hot,Rae Sremmurd - Black Beatles,Future - Life Is Good
40,Eric B & Rakim - Paid In Full,Wu-Tang Clan - C.R.E.A.M.,Nelly - Hot In Herre,Lil Nas X - Old Town Road,Lil Baby - On Me
50,Bomb the Bass - Beat Dis,Dr. Dre - The Next Episode,Drake - Best I Ever Had,Death Grips - Guillotine,JPEGMAFIA - BALD!
